"","order","suborder","greatgroup","series","top","bottom","units","family","subgroup","subgroup_code","class_string","topt","bottomt"
"160","Mollisols","Xerolls","Haploxerolls","MARKSCREEK","20","40","inches","Coarse-loamy over sandy or sandy-skeletal, mixed, superactive, frigid Cumulic Haploxerolls","cumulic haploxerolls","IFFK","Coarse-loamy over sandy or sandy-skeletal, mixed, superactive, frigid",50.8,101.6
"161","Mollisols","Aquolls","Endoaquolls","MARSHBROOK","24","50","inches","Fine-loamy, mixed, superactive, frigid Cumulic Endoaquolls","cumulic endoaquolls","IBGI","Fine-loamy, mixed, superactive, frigid",60.96,127
"162","Mollisols","Aquolls","Endoaquolls","MCCLAVE","24","50","inches","Fine-loamy, mixed, superactive, mesic Cumulic Endoaquolls","cumulic endoaquolls","IBGI","Fine-loamy, mixed, superactive, mesic",60.96,127
"163","Mollisols","Cryolls","Haplocryolls","MENBAR","16","37","inches","Fine-loamy, mixed, superactive Aquic Cumulic Haplocryolls","aquic cumulic haplocryolls","IEFE","Fine-loamy, mixed, superactive",40.64,93.98
"164","Mollisols","Aquolls","Cryaquolls","MENDENHALL","20","50","inches","Coarse-loamy, mixed, superactive, calcareous Cumulic Cryaquolls","cumulic cryaquolls","IBAG","Coarse-loamy, mixed, superactive, calcareous",50.8,127
"165","Mollisols","Aquolls","Endoaquolls","MERDEN","10","20","inches","Fine-loamy, mixed, superactive, calcareous, mesic Fluvaquentic Endoaquolls","fluvaquentic endoaquolls","IBGJ","Fine-loamy, mixed, superactive, calcareous, mesic",25.4,50.8
"166","Mollisols","Ustolls","Haplustolls","MERGEL","7","15","inches","Loamy-skeletal, mixed, superactive, frigid Torriorthentic Haplustolls","torriorthentic haplustolls","IGGX","Loamy-skeletal, mixed, superactive, frigid",17.78,38.1
"167","Mollisols","Xerolls","Calcixerolls","MERRILL","13","20","inches","Fine-silty, mixed, superactive, thermic Aquic Calcixerolls","aquic calcixerolls","IFDD","Fine-silty, mixed, superactive, thermic",33.02,50.8
"168","Mollisols","Cryolls","Haplocryolls","MIDFORK","7","15","inches","Loamy-skeletal, mixed, superactive Typic Haplocryolls","typic haplocryolls","IEFP","Loamy-skeletal, mixed, superactive",17.78,38.1
"169","Mollisols","Xerolls","Haploxerolls","MILLVILLE","11","20","inches","Coarse-silty, carbonatic, mesic Typic Haploxerolls","typic haploxerolls","IFFZh","Coarse-silty, carbonatic, mesic",27.94,50.8
"170","Mollisols","Ustolls","Haplustolls","MISSLER","7","20","inches","Fine, mixed, active, thermic Typic Haplustolls","typic haplustolls","IGGZe","Fine, mixed, active, thermic",17.78,50.8
"171","Mollisols","Ustolls","Haplustolls","MITCH","24","48","inches","Fine-silty, mixed, superactive, frigid Cumulic Haplustolls","cumulic haplustolls","IGGQ","Fine-silty, mixed, superactive, frigid",60.96,121.92
"172","Mollisols","Aquolls","Endoaquolls","MOLINE","10","20","inches","Fine, smectitic, mesic Vertic Endoaquolls","vertic endoaquolls","IBGD","Fine, smectitic, mesic",25.4,50.8
"173","Mollisols","Aquolls","Cryaquolls","MOSLANDER","7","19","inches","Fine-loamy, mixed, superactive, calcareous Typic Cryaquolls","typic cryaquolls","IBAH","Fine-loamy, mixed, superactive, calcareous",17.78,48.26
"174","Mollisols","Xerolls","Calcixerolls","MUNK","8","16","inches","Loamy-skeletal, mixed, superactive, mesic Typic Calcixerolls","typic calcixerolls","IFDJ","Loamy-skeletal, mixed, superactive, mesic",20.32,40.64
"175","Mollisols","Aquolls","Endoaquolls","MYRICK","12","20","inches","Clayey over loamy, smectitic, calcareous, mesic Fluvaquentic Endoaquolls","fluvaquentic endoaquolls","IBGJ","Clayey over loamy, smectitic, calcareous, mesic",30.48,50.8
"176","Mollisols","Xerolls","Haploxerolls","NEWBERG","10","20","inches","Coarse-loamy, mixed, superactive, mesic Fluventic Haploxerolls","fluventic haploxerolls","IFFZb","Coarse-loamy, mixed, superactive, mesic",25.4,50.8
"177","Mollisols","Xerolls","Haploxerolls","NEWDALE","6","15","inches","Coarse-silty, mixed, superactive, frigid Calcidic Haploxerolls","calcidic haploxerolls","IFFV","Coarse-silty, mixed, superactive, frigid",15.24,38.1
"178","Mollisols","Aquolls","Endoaquolls","NIWOT","7","20","inches","Fine-loamy over sandy or sandy-skeletal, mixed, superactive, mesic Typic Endoaquolls","typic endoaquolls","IBGK","Fine-loamy over sandy or sandy-skeletal, mixed, superactive, mesic",17.78,50.8
"179","Mollisols","Aquolls","Endoaquolls","NORMANDY","10","20","inches","Fine-loamy, mixed, superactive, calcareous, mesic Fluvaquentic Endoaquolls","fluvaquentic endoaquolls","IBGJ","Fine-loamy, mixed, superactive, calcareous, mesic",25.4,50.8
