"","order","suborder","greatgroup","series","top","bottom","units","family","subgroup","subgroup_code","class_string","topt","bottomt"
"489","Mollisols","Aquolls","Endoaquolls","UNCOMPAHGRE","7","15","inches","Fine-loamy, mixed, superactive, calcareous, mesic Fluvaquentic Endoaquolls","fluvaquentic endoaquolls","IBGJ","Fine-loamy, mixed, superactive, calcareous, mesic",17.78,38.1
"490","Mollisols","Xerolls","Haploxerolls","USK","7","12","inches","Coarse-loamy, isotic, mesic Vitrandic Haploxerolls","vitrandic haploxerolls","IFFH","Coarse-loamy, isotic, mesic",17.78,30.48
"491","Mollisols","Xerolls","Haploxerolls","VALBY","7","20","inches","Fine-silty, mixed, superactive, mesic Calcic Haploxerolls","calcic haploxerolls","IFFZd","Fine-silty, mixed, superactive, mesic",17.78,50.8
"492","Mollisols","Aquolls","Calciaquolls","VALLERS","7","25","inches","Fine-loamy, mixed, superactive, frigid Typic Calciaquolls","typic calciaquolls","IBDC","Fine-loamy, mixed, superactive, frigid",17.78,63.5
"493","Mollisols","Ustolls","Argiustolls","VALMONT","18","48","centimeters","Clayey over loamy-skeletal, smectitic, mesic Aridic Argiustolls","aridic argiustolls","IGER","Clayey over loamy-skeletal, smectitic, mesic",18,48
"494",NA,NA,NA,"VANNI","7","13","inches","Fine-loamy, carbonatic, frigid Typic
Calcixerolls",NA,NA,NA,17.78,33.02
"495","Mollisols","Ustolls","Haplustolls","VEBAR","7","16","inches","Coarse-loamy, mixed, superactive, frigid Typic Haplustolls","typic haplustolls","IGGZe","Coarse-loamy, mixed, superactive, frigid",17.78,40.64
"496","Mollisols","Ustolls","Argiustolls","VELDKAMP","7","20","inches","Clayey-skeletal, mixed, superactive, mesic Aridic Argiustolls","aridic argiustolls","IGER","Clayey-skeletal, mixed, superactive, mesic",17.78,50.8
"497","Mollisols","Xerolls","Haploxerolls","VENATOR","7","15","inches","Loamy-skeletal, mixed, superactive, mesic Lithic Haploxerolls","lithic haploxerolls","IFFC","Loamy-skeletal, mixed, superactive, mesic",17.78,38.1
"498","Mollisols","Xerolls","Argixerolls","VENNOB","7","10","inches","Clayey-skeletal, smectitic, frigid Lithic Argixerolls","lithic argixerolls","IFEC","Clayey-skeletal, smectitic, frigid",17.78,25.4
"499","Mollisols","Ustolls","Argiustolls","VERDIGRE","7","20","inches","Fine-loamy, mixed, superactive, mesic Typic Argiustolls","typic argiustolls","IGEU","Fine-loamy, mixed, superactive, mesic",17.78,50.8
"500","Mollisols","Udolls","Argiudolls","VERNDALE","7","16","inches","Coarse-loamy, mixed, superactive, frigid Typic Argiudolls","typic argiudolls","IHDU","Coarse-loamy, mixed, superactive, frigid",17.78,40.64
"501","Mollisols","Udolls","Hapludolls","VINLAND","18","38","centimeters","Loamy, mixed, superactive, mesic, shallow Typic Hapludolls","typic hapludolls","IHFS","Loamy, mixed, superactive, mesic, shallow",18,38
"502","Mollisols","Aquolls","Endoaquolls","WABANICA","7","14","inches","Fine-silty, mixed, superactive, calcareous, frigid Typic Endoaquolls","typic endoaquolls","IBGK","Fine-silty, mixed, superactive, calcareous, frigid",17.78,35.56
"503","Mollisols","Udolls","Hapludolls","WADENILL","7","16","inches","Coarse-loamy, mixed, superactive, mesic Typic Hapludolls","typic hapludolls","IHFS","Coarse-loamy, mixed, superactive, mesic",17.78,40.64
"504","Mollisols","Ustolls","Argiustolls","WAGES","7","15","inches","Fine-loamy, mixed, superactive, mesic Aridic Argiustolls","aridic argiustolls","IGER","Fine-loamy, mixed, superactive, mesic",17.78,38.1
"505","Mollisols","Xerolls","Haploxerolls","WAHTIGUP","7","12","inches","Fine-loamy, mixed, superactive, frigid Calcidic Haploxerolls","calcidic haploxerolls","IFFV","Fine-loamy, mixed, superactive, frigid",17.78,30.48
"506","Mollisols","Ustolls","Haplustolls","WAKEEN","18","51","centimeters","Fine-silty, carbonatic, mesic Entic Haplustolls","entic haplustolls","IGGZd","Fine-silty, carbonatic, mesic",18,51
