"","peiid","pedon_id","siteiid","site_id","obs_date","utmzone","utmeasting","utmnorthing","x","y","horizdatnm","musym","areasym","mlra"
"120","533645","66-CA-05-015x",544139,"S1966-CA-05-015x",2008-10-21,10,708822.31,4189327.27,-120.627258300781,37.8274841308594,"NAD83","3046","CA630","18"
"121","533646","67-CA-55-003x",544140,"S1967-CA-55-003x",2009-01-14,10,712696.04,4196318.07,-120.58122253418,37.8895416259766,"NAD83","3046","CA630","18"
"122","533653","67-CA-05-041x",544147,"S1967-CA-05-041x",2009-01-14,10,720176.05,4256097.26,-120.477752685547,38.4260139465332,"NAD83","6039","CA630","22A"
"123","533654","67-CA-05-030x",544148,"S1967-CA-05-030x",2009-01-21,10,713349.43,4249164.66,-120.557991027832,38.3652496337891,"NAD83","6207","CA630","22A"
"124","533656","67-CA-05-028x",544150,"S1967-CA-05-028x",2009-01-21,10,712552.34,4254377.52,-120.565528869629,38.4123802185059,"NAD83","6206","CA630","22A"
"125","533657","67-CA-05-029x",544151,"S1967-CA-05-029x",2009-01-21,10,714196.67,4249578.18,-120.54817199707,38.3687705993652,"NAD83","6029","CA630","22A"
"126","533661","67-CA-05-023x",544155,"S1967-CA-05-023x",2009-01-21,10,710393.43,4217158.54,-120.601280212402,38.0777473449707,"NAD83","8034","CA630","18"
"127","533662","67-CA-05-031x",544156,"S1967-CA-05-031x",2009-01-21,10,725575.26,4251523.3,-120.417419433594,38.383487701416,"NAD83","8287","CA630","22A"
"128","533663","67-CA-05-025x",544157,"S1967-CA-05-025x",2009-01-21,10,699319.76,4224930.41,-120.72526550293,38.1502494812012,"NAD83","7074","CA630","18"
"129","533664","67-CA-05-024x",544158,"S1967-CA-05-024x",2009-01-21,10,700827.42,4229842.84,-120.706687927246,38.1941528320312,"NAD83","7211","CA630","18"
"130","533665","66-CA-05-012x",544159,"S1966-CA-05-012x",2009-01-23,10,637158.34,4219381.09,-121.435455322266,38.1118469238281,"NAD83","5016","CA630","18"
"131","533666","65-CA-05-003x",544160,"S1965-CA-05-003x",2009-01-26,10,727493.35,4227832.94,-120.403099060059,38.1697158813477,"NAD83","3033","CA630","22A"
"132","533667","66-CA-05-006x",544161,"S1966-CA-05-006x",2009-01-23,10,712656.39,4197123.92,-120.581436157227,37.8968086242676,"NAD83","9018","CA630","18"
"133","533685","66-CA-05-016x",544179,"S1966-CA-05-016x",2009-01-23,10,710038.17,4215153.46,-120.605918884277,38.0597724914551,"NAD83","7087","CA630","18"
"134","533689","65-CA-05-001x",544183,"S1965-CA-05-001x",2009-01-26,10,706157.09,4201745.54,-120.65397644043,37.9399261474609,"NAD83","8036","CA630","18"
"135","533779","71-CA-05-057x",544273,"S1971-CA-05-057x",2009-02-25,10,683526.48,4231259.79,-120.903762817383,38.2106056213379,"NAD83","5101","CA630","18"
"136","533780","71-CA-05-059x",544274,"S1971-CA-05-059x",2009-02-25,10,689297.76,4233273.79,-120.837348937988,38.2275505065918,"NAD83","4201","CA630","18"
"137","533793","71-CA-05-060x",544287,"S1971-CA-05-060x",2009-02-25,10,688190.88,4229184.92,-120.851066589355,38.1909561157227,"NAD83","5013","CA630","18"
"138","533801","73-CA-05-067x",544295,"S1973-CA-05-067x",2009-02-27,10,718071.72,4238328.07,-120.50732421875,38.2665405273438,"NAD83","6206","CA630","22A"
"139","533804","73-CA-05-065x",544298,"S1973-CA-05-065x",2009-02-27,10,708394.43,4240617.31,-120.617179870605,38.2894515991211,"NAD83","6078","CA630","22A"
"140","533805","73-CA-05-069x",544299,"S1973-CA-05-069x",2009-02-27,10,708662.49,4239608.52,-120.614410400391,38.2803077697754,"NAD83","6207","CA630","22A"
"141","533807","73-CA-05-076x",544301,"S1973-CA-05-076x",2009-02-27,10,709824.91,4215742.64,-120.608169555664,38.065128326416,"NAD83","8036","CA630","18"
"142","533810","74-CA-05-077x",544304,"S1974-CA-05-77x",2009-02-27,10,710841.01,4215558.31,-120.596656799316,38.0632362365723,"NAD83","8034","CA630","18"
"143","533812","73-CA-55-011x",544306,"S1973-CA-55-011x",2009-02-27,10,722293.37,4187150.11,-120.474998474121,37.8046989440918,"NAD83","8033","CA630","18"
