"","musym","dmudesc","compname","comppct_r","compkind","drainagecl","slope_h","nirrcapcl","nirrcapscl","nirrcapunit","irrcapcl","irrcapscl","irrcapunit","landform_string","restr_depth","has_textural_B","pscs_clay","surface.rf.high","surface.txclay.high","subclass_prop_crit","subclass_slope_crit","subclass_calc","unit_calc"
"274","8289","MLRA 22A - 2nf4h Fiddletown-Rock outcrop cplx, 40 to 90","Bottlehill",10,"series","well",90,8,NA,NA,8,NA,NA,"mountain slope & canyon",61,TRUE,25.843137254902,35,25,"2a",5,"NA","NA"
"276","8289","MLRA 22A - 2nf4h Fiddletown-Rock outcrop cplx, 40 to 90","Fiddletown",60,"series","well",90,8,NA,NA,8,NA,NA,"canyon & mountain slope",120,FALSE,11.7777777777778,60,20,"6",5,"NA","NA"
"96","8302","CA6308302","Nedsgulch",40,"series","well",15,4,"e","1",4,"e","1","hill",152,TRUE,25.7407407407407,15,20,"2a",3,"e","1"
"43","8302","CA6308302","Tiger Creek",55,"series","well",15,3,"e","3",3,"e","3","hill",152,TRUE,30.35,10,25,"2a",3,"e","1"
"280","8307","CA6308307","Mercercave",10,"series","well",50,6,"e",NA,6,"e",NA,"hill",140,TRUE,35.5974025974026,35,27,"2a",4,"e","NA"
"95","8307","CA6308307","Nedsgulch",35,"series","well",50,6,"e",NA,6,"e",NA,"hill",152,TRUE,23.4630872483221,30,20,"1d",4,"e","NA"
"44","8307","CA6308307","Tiger Creek",50,"series","well",50,6,"e",NA,6,"e",NA,"hill",200,TRUE,32.5642857142857,15,25,"2a",4,"e","NA"
"94","8312","CA6308312","Vertic Palexerolls",3,"family","well",30,4,"e","5",4,"e","5","hill",200,TRUE,45.0512820512821,15,20,"2a",4,"e","5"
"200","8312","CA6308312","Ultic Haploxeralfs",10,"family","well",30,4,"e","7",4,"e","7","hill",116,TRUE,21.0982142857143,10,20,"2a",4,"e","8"
"17","8312","CA6308312","Millvilla",22,"series","well",30,4,"e","3",4,"e","3","hill",80,TRUE,23.65,15,25,"2a",4,"e","8"
"18","8312","CA6308312","Aquariusmine",65,"series","well",30,4,"e","3",4,"e","3","hill",113,TRUE,25.3734939759036,15,27,"2a",4,"e","8"
